school,relationship_status,have_ever_relationship,life_satisfaction,relationship_satisfaction,self_desirability,num_relationships
Washington University in St. Louis,Single and looking for a relationship,No,5,2,6,
University of Wisconsin-Madison,Single and looking for a relationship,Yes,6,2,5,1
University of Wisconsin-Madison,Single and looking for a relationship,No,4,2,5,
The University of Chicago,Single and not looking for a relationship,Yes,4,5,5,1
Harvard College,Single and looking for a relationship,No,6,2,4,
The University of Chicago,Single and looking for a relationship,No,4,0,6,
University of Wisconsin-Madison,Single and not looking for a relationship,Yes,4,4,2,1
University of Washington,Single and looking for a relationship,No,3,0,2,
"University of California, San Diego","In a relationship, less than 6 months",No,6,7,6,
University of Washington,Single and not looking for a relationship,No,,3,3,
"University of California, Los Angeles",Single and looking for a relationship,No,5,1,6,
Washington University in St. Louis,Single and looking for a relationship,Yes,5,2,5,1
Tufts University,Single and looking for a relationship,No,5,1,5,
The Claremont Colleges,Single and looking for a relationship,Yes,1,0,1,1
Other,Single and not looking for a relationship,Yes,5,2,3,2
Wellesley College,Single and looking for a relationship,No,,3,5,
Massachusetts Institute of Technology,Single and not looking for a relationship,No,4,4,6,
Dartmouth College,Single and looking for a relationship,Yes,5,5,6,2
The Claremont Colleges,"In a relationship, longer than 6 months",Yes,5,6,5,1
Wesleyan University,Single and not looking for a relationship,Yes,3,0,1,1
Washington University in St. Louis,Single and looking for a relationship,Yes,4,1,5,1
The University of Chicago,Single and looking for a relationship,No,6,2,8,
McGill University,Single and looking for a relationship,Yes,6,4,6,1
Dartmouth College,Single and looking for a relationship,No,5,2,3,
"University of California, Los Angeles",Single and looking for a relationship,No,5,3,5,
Washington University in St. Louis,Single and looking for a relationship,No,6,3,4,
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,6,6,5,1
Massachusetts Institute of Technology,Single and not looking for a relationship,Yes,5,3,8,1
University of Washington,Single and not looking for a relationship,No,7,4,6,
Washington University in St. Louis,Single and not looking for a relationship,No,6,6,5,
Carleton College,Single and looking for a relationship,Yes,4,4,5,5
Washington University in St. Louis,Single and looking for a relationship,No,7,2,5,
Harvard College,Single and looking for a relationship,No,8,5,6,
"University of California, San Diego",Single and not looking for a relationship,Yes,6,3,3,1
Washington University in St. Louis,Single and looking for a relationship,Yes,3,1,6,1
Tufts University,Single and not looking for a relationship,No,6,4,0,
University of Pennsylvania,Single and not looking for a relationship,Yes,3,7,4,1.5
Yale University,Single and not looking for a relationship,No,7,4,5,
Wesleyan University,Single and looking for a relationship,No,5,2,5,
Washington University in St. Louis,"In a relationship, less than 6 months",Yes,6,7,6,1
Massachusetts Institute of Technology,Single and looking for a relationship,No,5,1,5,
Yale University,Single and looking for a relationship,No,5,3,2,
Brown University,Single and not looking for a relationship,Yes,6,4,6,1
Washington University in St. Louis,Single and not looking for a relationship,Yes,7,7,8,3
McGill University,Single and looking for a relationship,Yes,6,5,6,2
University of Washington,Single and looking for a relationship,Yes,3,1,6,1
University of Pennsylvania,Single and not looking for a relationship,No,3,2,5,
Harvard College,Single and not looking for a relationship,No,5,8,5,
McGill University,Single and not looking for a relationship,No,6,2,5,
Columbia University,Single and looking for a relationship,No,6,2,6,
University of Wisconsin-Madison,Single and not looking for a relationship,Yes,4,6,6,2
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,5,7,,1
"University of California, San Diego",Single and looking for a relationship,No,5,0,7,
Harvard College,"In a relationship, less than 6 months",No,6,6,7,
University of Washington,"In a relationship, longer than 6 months",Yes,5,,6,3
Washington University in St. Louis,Single and looking for a relationship,No,4,,2,
The University of Chicago,Single and looking for a relationship,Yes,6,2,7,2
University of Wisconsin-Madison,Single and looking for a relationship,Yes,6,3,2,3
Wesleyan University,Single and looking for a relationship,No,6,3,7,
Yale University,Single and not looking for a relationship,Yes,4,1,6,2
University of Pennsylvania,Single and looking for a relationship,No,4,1,5,
Dartmouth College,"In a relationship, less than 6 months",Yes,6,7,6,2
University of Wisconsin-Madison,Single and looking for a relationship,Yes,6,3,5,2
University of Wisconsin-Madison,Single and looking for a relationship,Yes,8,0,4,1
Massachusetts Institute of Technology,"In a relationship, longer than 6 months",Yes,6,7,6,1
"University of California, San Diego",Single and looking for a relationship,No,,2,5,
University of Washington,Single and looking for a relationship,No,5,2,6,
Massachusetts Institute of Technology,Single and not looking for a relationship,No,6,0,2,
Vanderbilt University,Single and not looking for a relationship,No,5,3,4,
University of Wisconsin-Madison,Single and not looking for a relationship,No,6,3,6,
Massachusetts Institute of Technology,Single and looking for a relationship,No,6,3,5,
The Claremont Colleges,Single and looking for a relationship,No,,5,5,
The Claremont Colleges,Single and looking for a relationship,No,6,5,5,
Washington University in St. Louis,"In a relationship, less than 6 months",Yes,7,8,5,3
Columbia University,Single and not looking for a relationship,Yes,,,,1
University of Wisconsin-Madison,Single and looking for a relationship,Yes,4,2,6,1
The Claremont Colleges,Single and not looking for a relationship,No,6,6,3,
The University of Chicago,Single and looking for a relationship,No,6,2,4,
University of Wisconsin-Madison,Single and looking for a relationship,No,3,2,4,
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,6,7,4,1
Washington University in St. Louis,Single and looking for a relationship,Yes,5,2,5,2
Washington University in St. Louis,Single and looking for a relationship,No,6,1,5,
Washington University in St. Louis,"In a relationship, less than 6 months",Yes,6,6,6,2
Washington University in St. Louis,"In a relationship, less than 6 months",Yes,5,6,6,1
Washington University in St. Louis,Single and not looking for a relationship,Yes,1,2,2,1
Washington University in St. Louis,Single and looking for a relationship,Yes,6,3,6,1
The Claremont Colleges,"In a relationship, longer than 6 months",Yes,7,6,4,1
Wesleyan University,Single and looking for a relationship,No,6,1,6,
The Claremont Colleges,Single and not looking for a relationship,Yes,4,0,4,1
Harvard College,Single and not looking for a relationship,Yes,6,6,6,2
University of Washington,Single and looking for a relationship,No,5,2,7,
Brown University,Single and looking for a relationship,Yes,7,3,6,1
Massachusetts Institute of Technology,Single and not looking for a relationship,Yes,5,2,5,1
Boston College,"In a relationship, less than 6 months",Yes,6,7,6,2
Yale University,Single and looking for a relationship,Yes,6,5,7,
Washington University in St. Louis,Single and looking for a relationship,Yes,5,2,6,1
Massachusetts Institute of Technology,Single and not looking for a relationship,No,6,6,5,
Yale University,Single and looking for a relationship,Yes,7,2,6,1
Harvard College,Single and not looking for a relationship,Yes,6,2,7,1
The Claremont Colleges,Single and looking for a relationship,No,6,3,6,
The University of Chicago,Single and looking for a relationship,No,6,5,6,
McGill University,Single and looking for a relationship,No,6,2,,
Massachusetts Institute of Technology,Single and looking for a relationship,No,6,4,4,
University of Washington,Single and not looking for a relationship,Yes,2,0,1,1
Washington University in St. Louis,Single and looking for a relationship,No,6,3,5,
Massachusetts Institute of Technology,Single and looking for a relationship,No,6,2,5,
Yale University,Single and looking for a relationship,No,7,1,6,
The University of Chicago,Single and looking for a relationship,Yes,5,4,7,3
The Claremont Colleges,Single and looking for a relationship,No,5,2,4,
University of Pennsylvania,"In a relationship, less than 6 months",Yes,7,7,6,1
Washington University in St. Louis,Single and looking for a relationship,No,6,2,5,
University of Washington,"In a relationship, less than 6 months",Yes,3,7,6,1
Washington University in St. Louis,Single and looking for a relationship,No,6,4,6,
Wesleyan University,Single and looking for a relationship,No,6,2,5,
Dartmouth College,Single and looking for a relationship,No,6,3,,
The University of Chicago,Single and looking for a relationship,No,4,3,5,
Boston College,Single and looking for a relationship,No,7,2,6,
The Claremont Colleges,Single and looking for a relationship,Yes,5,3,6,1
The Claremont Colleges,Single and looking for a relationship,No,5,4,6,
Dartmouth College,Single and looking for a relationship,No,6,4,6,
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,5,7,6,1
Washington University in St. Louis,Single and looking for a relationship,No,6,1,5,
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,6,6,7,1
Washington University in St. Louis,Single and looking for a relationship,No,6,3,5,
Washington University in St. Louis,"In a relationship, less than 6 months",Yes,,5,6,3
Carnegie Mellon University,Single and looking for a relationship,No,5,2,6,
University of Wisconsin-Madison,Single and looking for a relationship,Yes,6,1,6,1
University of Washington,Single and looking for a relationship,No,6,3,7,
Boston College,"In a relationship, longer than 6 months",Yes,6,8,6,1
Washington University in St. Louis,Single and looking for a relationship,No,7,3,6,
Wellesley College,Single and not looking for a relationship,No,5,2,,
The University of Chicago,Single and looking for a relationship,Yes,3,2,5,2
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,5,6,6,1
Yale University,Single and looking for a relationship,No,5,3,6,
Harvard College,Single and not looking for a relationship,No,6,3,1,
University of Pennsylvania,Single and looking for a relationship,Yes,6,4,5,
The University of Chicago,Single and looking for a relationship,No,7,2,6,
University of Washington,Single and looking for a relationship,No,5,2,4,
Yale University,Single and looking for a relationship,Yes,7,3,6,4
Harvard College,Single and looking for a relationship,No,5,1,4,
The University of Chicago,Single and looking for a relationship,Yes,3,2,5,1
The Claremont Colleges,"In a relationship, less than 6 months",Yes,5,5,5,1
University of Wisconsin-Madison,Single and looking for a relationship,No,3,0,3,
Massachusetts Institute of Technology,Single and looking for a relationship,No,3,0,4,
University of Washington,"In a relationship, less than 6 months",Yes,6,8,4,1
Boston College,Single and not looking for a relationship,Yes,7,6,6,1
The Claremont Colleges,Single and not looking for a relationship,No,6,1,5,
Wesleyan University,Single and not looking for a relationship,No,7,5,8,
Princeton University,Single and looking for a relationship,No,5,1,1,
Boston College,Single and not looking for a relationship,No,7,3,7,
Washington University in St. Louis,Single and looking for a relationship,No,5,1,6,
The Claremont Colleges,Single and not looking for a relationship,No,5,2,6,
Dartmouth College,"In a relationship, less than 6 months",Yes,6,7,6,1
University of Wisconsin-Madison,Single and looking for a relationship,Yes,3,0,2,
Dartmouth College,"In a relationship, longer than 6 months",Yes,7,7,7,1
Boston College,Single and looking for a relationship,Yes,7,0,7,1
Massachusetts Institute of Technology,"In a relationship, less than 6 months",Yes,5,7,5,2
Washington University in St. Louis,Single and not looking for a relationship,No,6,2,6,
University of Washington,Single and looking for a relationship,No,3,0,4,
University of Washington,Single and looking for a relationship,Yes,6,3,4,2
Massachusetts Institute of Technology,Single and not looking for a relationship,Yes,6,4,5,1
Princeton University,Single and looking for a relationship,No,6,1,7,
Washington University in St. Louis,Single and looking for a relationship,No,2,3,2,
Princeton University,Single and looking for a relationship,No,1,2,3,
Tufts University,"In a relationship, longer than 6 months",Yes,4,3,7,1
The University of Chicago,Single and looking for a relationship,No,3,2,6,
University of Washington,"In a relationship, longer than 6 months",Yes,6,6,6,1
Carnegie Mellon University,Single and not looking for a relationship,No,4,4,5,
Yale University,Single and looking for a relationship,No,3,0,1,
Wesleyan University,Single and looking for a relationship,No,6,2,6,
Dartmouth College,"In a relationship, less than 6 months",Yes,6,6,6,
Carnegie Mellon University,Single and not looking for a relationship,No,,6,5,
Massachusetts Institute of Technology,Single and looking for a relationship,Yes,7,6,4,2
Washington University in St. Louis,Single and not looking for a relationship,No,7,4,6,
Carnegie Mellon University,Single and not looking for a relationship,No,5,0,6,
The Claremont Colleges,Single and not looking for a relationship,No,6,2,4,
Massachusetts Institute of Technology,"In a relationship, longer than 6 months",Yes,6,3,6,1
Massachusetts Institute of Technology,"In a relationship, less than 6 months",No,5,6,4,
Harvard College,Single and looking for a relationship,No,4,3,5,
The Claremont Colleges,Single and looking for a relationship,No,6,,7,
The University of Chicago,Single and looking for a relationship,Yes,6,0,5,1
University of Wisconsin-Madison,Single and looking for a relationship,No,3,1,3,
University of Pennsylvania,Single and looking for a relationship,Yes,5,0,3,2
McGill University,Single and not looking for a relationship,No,4,7,5,
The Claremont Colleges,Single and looking for a relationship,No,4,,8,
Dartmouth College,Single and not looking for a relationship,No,6,5,6,
University of Washington,"In a relationship, less than 6 months",Yes,6,5,4,1
University of Washington,"In a relationship, longer than 6 months",Yes,6,7,5,1
Brown University,Single and looking for a relationship,No,4,2,3,
Dartmouth College,"In a relationship, longer than 6 months",Yes,6,8,5,1
Washington University in St. Louis,Single and not looking for a relationship,No,7,4,6,
Vanderbilt University,Single and looking for a relationship,No,4,2,6,
"University of California, Los Angeles","In a relationship, less than 6 months",Yes,6,7,5,1
Washington University in St. Louis,Single and looking for a relationship,No,6,4,5,
University of Wisconsin-Madison,Single and looking for a relationship,No,5,1,6,
The University of Chicago,Single and looking for a relationship,No,,3,6,
Washington University in St. Louis,Single and not looking for a relationship,Yes,6,5,6,1
McGill University,Single and looking for a relationship,No,7,,6,
Yale University,Single and looking for a relationship,Yes,6,1,6,1
Washington University in St. Louis,"In a relationship, less than 6 months",Yes,6,7,7,1
Washington University in St. Louis,Single and not looking for a relationship,Yes,6,2,6,1
Princeton University,Single and looking for a relationship,No,2,4,3,
Washington University in St. Louis,Single and not looking for a relationship,Yes,6,1,5,1
Harvard College,"In a relationship, less than 6 months",Yes,6,5,4,1
Boston College,Single and looking for a relationship,No,5,3,2,
Washington University in St. Louis,Single and looking for a relationship,No,4,3,6,
Williams College,Single and not looking for a relationship,No,5,4,4,
Wellesley College,Single and not looking for a relationship,Yes,6,2,5,3
"University of California, San Diego",Single and looking for a relationship,No,5,1,6,
Yale University,"In a relationship, longer than 6 months",Yes,5,6,2,
Boston College,Single and looking for a relationship,No,6,2,5,
"University of California, San Diego",Single and looking for a relationship,No,2,1,,
University of Washington,Single and looking for a relationship,No,4,3,6,
The University of Chicago,Single and looking for a relationship,Yes,6,3,7,1
University of Washington,Single and looking for a relationship,No,6,1,3,
Washington University in St. Louis,"In a relationship, less than 6 months",No,3,5,2,
Yale University,Single and looking for a relationship,No,5,3,5,
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,7,7,6,1
Massachusetts Institute of Technology,"In a relationship, less than 6 months",Yes,6,7,5,1
Washington University in St. Louis,Single and not looking for a relationship,Yes,6,2,,
Washington University in St. Louis,Single and looking for a relationship,Yes,6,3,3,2
Harvard College,Single and looking for a relationship,No,6,3,6,
McGill University,Single and looking for a relationship,No,5,3,,
Columbia University,Single and looking for a relationship,No,5,1,1,
Dartmouth College,Single and not looking for a relationship,Yes,2,0,3,
Tufts University,Single and looking for a relationship,No,4,3,6,
Massachusetts Institute of Technology,Single and not looking for a relationship,No,3,1,5,
Brown University,Single and looking for a relationship,No,6,1,5,
New York University,Single and looking for a relationship,No,6,0,5,
Harvard College,Single and looking for a relationship,No,7,5,6,
Tufts University,Single and looking for a relationship,No,5,,3,
University of Washington,Single and looking for a relationship,Yes,8,5,6,1
The Claremont Colleges,Single and looking for a relationship,No,2,0,5,
Harvard College,Single and not looking for a relationship,No,5,3,,
Yale University,Single and looking for a relationship,No,6,2,4,
Princeton University,Single and not looking for a relationship,Yes,6,3,6,1
Dartmouth College,Single and looking for a relationship,No,3,1,2,
Yale University,Single and not looking for a relationship,Yes,6,1,7,9
"University of California, San Diego",Single and looking for a relationship,No,7,2,5,
Harvard College,"In a relationship, longer than 6 months",No,7,7,7,
"University of California, San Diego",Single and looking for a relationship,No,6,1,6,
University of Washington,Single and looking for a relationship,No,3,0,6,
University of Pennsylvania,Single and looking for a relationship,Yes,6,3,6,1
New York University,Single and looking for a relationship,No,5,1,6,
University of Wisconsin-Madison,"In a relationship, longer than 6 months",Yes,6,7,7,2
Washington University in St. Louis,Single and looking for a relationship,No,7,2,5,
"University of California, Los Angeles",Single and not looking for a relationship,No,7,2,6,
Dartmouth College,Single and looking for a relationship,No,2,2,,
Wesleyan University,Single and looking for a relationship,Yes,7,2,7,1
The Claremont Colleges,Single and looking for a relationship,No,7,3,6,
The Claremont Colleges,"In a relationship, less than 6 months",Yes,3,3,7,3
Yale University,Single and not looking for a relationship,No,6,4,4,
Yale University,Single and looking for a relationship,Yes,5,4,5,3
University of Wisconsin-Madison,Single and looking for a relationship,No,,1,3,
Boston College,Single and looking for a relationship,No,6,,6,
The University of Chicago,"In a relationship, longer than 6 months",Yes,3,6,6,1
Boston College,Single and looking for a relationship,No,6,2,6,
Massachusetts Institute of Technology,"In a relationship, less than 6 months",Yes,6,7,6,1
Princeton University,Single and looking for a relationship,No,5,2,5,
"University of California, Berkeley",Single and looking for a relationship,No,1,1,0,
Carnegie Mellon University,"In a relationship, less than 6 months",Yes,4,6,6,1
Washington University in St. Louis,Single and looking for a relationship,No,6,2,6,
Brown University,"In a relationship, longer than 6 months",Yes,5,7,7,2
Massachusetts Institute of Technology,Single and not looking for a relationship,Yes,6,3,5,1
The University of Chicago,Single and looking for a relationship,Yes,6,4,6,1
Washington University in St. Louis,Single and looking for a relationship,No,7,1,6,
Boston College,Single and looking for a relationship,,6,0,5,
Massachusetts Institute of Technology,Single and looking for a relationship,No,4,3,4,
Washington University in St. Louis,Single and not looking for a relationship,No,6,5,7,
Tufts University,Single and looking for a relationship,No,5,3,4,
University of Washington,Single and looking for a relationship,No,5,2,4,
The Claremont Colleges,"In a relationship, longer than 6 months",Yes,5,7,7,1
University of Wisconsin-Madison,Single and looking for a relationship,Yes,3,1,5,2
Boston College,Single and looking for a relationship,No,6,3,6,
University of Wisconsin-Madison,Single and looking for a relationship,No,6,1,7,
Dartmouth College,"In a relationship, less than 6 months",Yes,7,8,5,1
Other,Single and not looking for a relationship,No,3,4,3,
Brown University,Single and looking for a relationship,Yes,6,4,3,
The Claremont Colleges,Single and looking for a relationship,No,3,6,6,
Williams College,Single and looking for a relationship,Yes,2,2,7,1
Brown University,"In a relationship, less than 6 months",Yes,5,7,6,3
Dartmouth College,Single and looking for a relationship,No,6,5,7,
Washington University in St. Louis,Single and looking for a relationship,Yes,5,1,5,1
Yale University,Single and looking for a relationship,No,3,5,5,
Massachusetts Institute of Technology,"In a relationship, less than 6 months",Yes,6,6,4,2
The Claremont Colleges,Single and looking for a relationship,Yes,3,2,6,1
University of Pennsylvania,Single and looking for a relationship,No,6,6,5,
University of Wisconsin-Madison,Single and looking for a relationship,No,6,2,5,
University of Washington,Single and looking for a relationship,No,6,,5,
New York University,"In a relationship, less than 6 months",Yes,5,6,7,2
The Claremont Colleges,Single and looking for a relationship,Yes,2,0,1,1
The University of Chicago,Single and looking for a relationship,No,3,0,4,
Washington University in St. Louis,Single and looking for a relationship,No,6,3,4,
Other,Single and looking for a relationship,Yes,7,1,4,1
Dartmouth College,"In a relationship, less than 6 months",Yes,5,5,,1
New York University,Single and looking for a relationship,No,5,2,5,
Wesleyan University,Single and looking for a relationship,No,2,3,3,
The University of Chicago,Single and looking for a relationship,Yes,6,1,6,1
"University of California, Berkeley",Single and looking for a relationship,Yes,6,0,6,1
Dartmouth College,Single and looking for a relationship,Yes,7,4,5,3
University of Wisconsin-Madison,Single and not looking for a relationship,No,5,4,3,
Massachusetts Institute of Technology,Single and looking for a relationship,No,7,5,6,
The University of Chicago,"In a relationship, longer than 6 months",Yes,6,7,6,5
Washington University in St. Louis,Single and not looking for a relationship,Yes,6,2,4,1
Massachusetts Institute of Technology,Single and not looking for a relationship,No,2,,3,
Washington University in St. Louis,Single and looking for a relationship,No,5,2,7,
Yale University,"In a relationship, less than 6 months",Yes,5,3,3,1
Boston College,Single and looking for a relationship,No,6,5,6,
Washington University in St. Louis,"In a relationship, less than 6 months",Yes,6,6,7,2
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,7,8,2,1
New York University,Single and looking for a relationship,Yes,,1,2,1
The Claremont Colleges,Single and looking for a relationship,No,2,1,2,
Wesleyan University,"In a relationship, less than 6 months",Yes,5,7,4,1
University of Wisconsin-Madison,Single and looking for a relationship,No,4,2,6,
Harvard College,Single and looking for a relationship,No,7,5,7,
Yale University,Single and looking for a relationship,No,2,0,6,
Washington University in St. Louis,Single and looking for a relationship,No,6,4,4,
University of Wisconsin-Madison,Single and looking for a relationship,Yes,6,2,4,1
University of Pennsylvania,Single and not looking for a relationship,No,6,6,6,
The Claremont Colleges,Single and looking for a relationship,No,6,3,6,
Wesleyan University,"In a relationship, less than 6 months",Yes,6,6,7,1
Harvard College,Single and looking for a relationship,No,6,4,2,
Yale University,Single and looking for a relationship,No,6,2,5,
Other,Single and looking for a relationship,No,6,4,3,
Boston College,Single and not looking for a relationship,Yes,3,5,6,2
The Claremont Colleges,"In a relationship, less than 6 months",Yes,6,5,6,1
Massachusetts Institute of Technology,Single and looking for a relationship,Yes,3,1,3,
Washington University in St. Louis,Single and looking for a relationship,Yes,5,2,7,3
Boston College,Single and looking for a relationship,No,3,3,6,
Washington University in St. Louis,Single and looking for a relationship,Yes,7,8,8,1
Washington University in St. Louis,Single and not looking for a relationship,No,7,2,1,
The University of Chicago,"In a relationship, longer than 6 months",Yes,3,2,1,1
University of Washington,Single and looking for a relationship,No,6,2,5,
Harvard College,Single and looking for a relationship,No,6,0,6,
Carleton College,"In a relationship, less than 6 months",Yes,5,7,4,2
Washington University in St. Louis,"In a relationship, longer than 6 months",No,6,8,6,
University of Wisconsin-Madison,Single and looking for a relationship,Yes,4,3,2,1
Tufts University,Single and looking for a relationship,No,3,2,5,
Tufts University,"In a relationship, longer than 6 months",Yes,6,7,7,
Washington University in St. Louis,Single and looking for a relationship,No,5,1,3,
Boston College,"In a relationship, less than 6 months",No,7,8,7,
Massachusetts Institute of Technology,Single and looking for a relationship,Yes,6,2,6,0
University of Wisconsin-Madison,Single and looking for a relationship,Yes,6,5,6,3
Brown University,Single and looking for a relationship,No,7,4,7,
Columbia University,Single and looking for a relationship,Yes,4,4,7,1
Washington University in St. Louis,"In a relationship, less than 6 months",Yes,6,7,5,4
Washington University in St. Louis,Single and not looking for a relationship,No,7,5,6,
The Claremont Colleges,Single and looking for a relationship,No,2,0,5,
Massachusetts Institute of Technology,Single and looking for a relationship,Yes,6,,5,1
Harvard College,Single and looking for a relationship,No,5,1,6,
University of Wisconsin-Madison,Single and looking for a relationship,No,5,1,7,
Vanderbilt University,Single and looking for a relationship,No,3,0,1,
Massachusetts Institute of Technology,Single and looking for a relationship,Yes,6,3,4,1
The University of Chicago,Single and looking for a relationship,No,7,4,5,
Vanderbilt University,"In a relationship, less than 6 months",Yes,6,6,5,1
Dartmouth College,Single and looking for a relationship,Yes,6,5,8,2
Harvard College,"In a relationship, less than 6 months",Yes,4,6,6,
Other,Single and looking for a relationship,Yes,5,4,6,1
Vanderbilt University,Single and looking for a relationship,No,3,2,5,
Massachusetts Institute of Technology,Single and looking for a relationship,Yes,3,5,4,2
Tufts University,Single and looking for a relationship,No,5,2,5,
The University of Chicago,"In a relationship, less than 6 months",Yes,6,7,4,2
University of Pennsylvania,Single and looking for a relationship,No,6,0,6,
Massachusetts Institute of Technology,Single and looking for a relationship,No,3,3,5,
Washington University in St. Louis,Single and looking for a relationship,Yes,5,3,6,1
Brown University,Single and looking for a relationship,Yes,7,1,7,2
Other,Single and looking for a relationship,Yes,7,3,5,2
University of Wisconsin-Madison,Single and not looking for a relationship,Yes,5,8,6,1
Dartmouth College,Single and looking for a relationship,Yes,7,2,6,1
Tufts University,Single and looking for a relationship,Yes,,,6,1
The Claremont Colleges,Single and looking for a relationship,No,4,4,6,
Washington University in St. Louis,Single and not looking for a relationship,Yes,5,4,6,3
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,6,8,5,1
Princeton University,Single and not looking for a relationship,Yes,7,5,6,1
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,6,7,6,1
Harvard College,"In a relationship, less than 6 months",Yes,5,7,8,1
Washington University in St. Louis,Single and looking for a relationship,No,6,3,5,
Princeton University,Single and not looking for a relationship,No,6,3,5,
University of Wisconsin-Madison,Single and looking for a relationship,Yes,2,0,6,0
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,7,8,5,1
New York University,Single and looking for a relationship,No,4,1,3,
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,6,5,6,2
Massachusetts Institute of Technology,Single and looking for a relationship,No,5,1,3,
Yale University,Single and looking for a relationship,No,7,5,6,
"University of California, San Diego",Single and looking for a relationship,No,6,3,5,
Princeton University,"In a relationship, less than 6 months",Yes,3,5,5,1
Dartmouth College,Single and looking for a relationship,No,6,6,6,
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,6,6,5,1
The University of Chicago,Single and looking for a relationship,No,6,1,3,
Yale University,Single and looking for a relationship,Yes,,3,5,2
The University of Chicago,Single and looking for a relationship,No,6,2,2,
The University of Chicago,Single and looking for a relationship,Yes,3,3,7,1
McGill University,Single and looking for a relationship,Yes,5,4,6,2
Washington University in St. Louis,Single and looking for a relationship,No,5,1,3,
Tufts University,"In a relationship, less than 6 months",Yes,5,5,6,1
Harvard College,"In a relationship, less than 6 months",Yes,6,8,5,2
Harvard College,"In a relationship, longer than 6 months",Yes,4,6,3,1
Columbia University,Single and not looking for a relationship,Yes,5,2,6,2
Tufts University,Single and looking for a relationship,No,7,3,6,
Princeton University,Single and not looking for a relationship,No,6,3,3,
University of Washington,"In a relationship, less than 6 months",Yes,6,4,6,1
University of Wisconsin-Madison,Single and not looking for a relationship,Yes,2,1,8,1
Dartmouth College,Single and looking for a relationship,Yes,7,4,5,1
Dartmouth College,Single and looking for a relationship,No,6,2,5,
The University of Chicago,Single and looking for a relationship,No,6,4,5,
The University of Chicago,Single and looking for a relationship,Yes,3,4,7,2
University of Washington,Single and not looking for a relationship,No,6,3,6,
Princeton University,"In a relationship, longer than 6 months",Yes,4,6,6,1
Columbia University,Single and looking for a relationship,No,6,2,2,
The Claremont Colleges,Single and looking for a relationship,No,6,4,7,
Yale University,Single and looking for a relationship,Yes,5,3,4,1
"University of California, Los Angeles",Single and looking for a relationship,No,6,5,3,
The University of Chicago,Single and not looking for a relationship,Yes,6,2,3,1
Washington University in St. Louis,"In a relationship, longer than 6 months",Yes,6,6,5,4
University of Washington,Single and looking for a relationship,No,5,1,4,
McGill University,Single and not looking for a relationship,No,5,3,7,
Boston College,Single and looking for a relationship,No,6,4,8,
Washington University in St. Louis,Single and not looking for a relationship,No,6,3,7,
Wesleyan University,Single and looking for a relationship,No,2,3,6,
Washington University in St. Louis,Single and looking for a relationship,Yes,4,1,4,1
The Claremont Colleges,Single and looking for a relationship,Yes,,2,6,2
Vanderbilt University,Single and not looking for a relationship,Yes,1,3,6,1
Vanderbilt University,Single and looking for a relationship,No,4,0,1,
Boston College,Single and looking for a relationship,No,4,2,5,
Dartmouth College,"In a relationship, less than 6 months",Yes,5,5,5,1
Massachusetts Institute of Technology,"In a relationship, longer than 6 months",Yes,7,5,5,1
Carnegie Mellon University,"In a relationship, longer than 6 months",Yes,8,8,7,2
University of Washington,"In a relationship, less than 6 months",Yes,5,4,3,4
Massachusetts Institute of Technology,Single and not looking for a relationship,No,3,,,
The Claremont Colleges,Single and looking for a relationship,No,7,3,6,
University of Washington,Single and looking for a relationship,No,5,2,4,
University of Wisconsin-Madison,"In a relationship, longer than 6 months",Yes,7,8,6,1
University of Washington,Single and looking for a relationship,Yes,6,4,5,4
Massachusetts Institute of Technology,"In a relationship, less than 6 months",Yes,3,7,6,2
Tufts University,Single and not looking for a relationship,Yes,6,6,7,0
Yale University,Single and looking for a relationship,No,6,1,2,
Yale University,Single and looking for a relationship,Yes,5,3,5,1
Washington University in St. Louis,Single and not looking for a relationship,Yes,3,3,3,1
Massachusetts Institute of Technology,Single and looking for a relationship,No,4,1,6,
University of Pennsylvania,Single and looking for a relationship,Yes,5,1,6,1
Tufts University,Single and looking for a relationship,No,6,4,6,
Massachusetts Institute of Technology,"In a relationship, longer than 6 months",Yes,6,8,2,1
Boston College,Single and looking for a relationship,No,4,1,5,
Boston College,Single and looking for a relationship,Yes,4,3,6,1
Wesleyan University,"In a relationship, less than 6 months",Yes,5,5,3,3
Carnegie Mellon University,Single and looking for a relationship,Yes,5,3,6,2
Columbia University,Single and looking for a relationship,Yes,7,5,8,1
University of Washington,Single and looking for a relationship,No,7,,6,
Wesleyan University,Single and looking for a relationship,No,2,4,5,
The University of Chicago,Single and looking for a relationship,Yes,6,2,5,2
